                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.417,                 5.3907,                 4.2605,                  4e-05,                0.00885,                  2e-05,                  1e-05,                 4.3401,                 4.6719,                 4.1888,              0.0033135,              0.0033135,              0.0033135
                      2,                 4.2833,                 5.0973,                 4.1095,                0.20098,                0.00489,                0.00026,                  7e-05,                 4.0357,                 4.6066,                 4.0033,              0.0066139,              0.0066139,              0.0066139
                      3,                 3.9746,                 4.4275,                 3.4992,                0.10057,                0.00822,                0.00028,                  6e-05,                 4.0425,                    inf,                 3.4566,              0.0098814,              0.0098814,              0.0098814
                      4,                 3.1377,                  3.008,                 2.2465,                0.24703,                0.03384,                0.02251,                 0.0087,                 3.0201,                 4.0151,                 2.0205,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.3517,                 2.0788,                 1.6155,                0.45466,                0.05447,                0.05092,                0.01945,                 2.5869,                 3.0548,                 1.7051,               0.009802,               0.009802,               0.009802
                      6,                 2.1241,                 1.7996,                 1.4635,                0.61298,                 0.1302,                0.12706,                0.05776,                 1.9201,                 1.5885,                 1.3474,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.9808,                 1.6279,                 1.3737,                 0.5746,                0.08858,                0.07187,                0.03177,                 2.2628,                 2.4729,                 1.5703,               0.009703,               0.009703,               0.009703
                      8,                 1.8987,                 1.5334,                  1.317,                0.41416,                0.19132,                 0.1749,                 0.0864,                  1.714,                 1.4353,                 1.2338,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.8285,                 1.4481,                 1.2735,                0.45814,                0.14023,                0.14246,                0.06876,                 1.8182,                 1.5311,                 1.3044,               0.009604,               0.009604,               0.009604
                     10,                  1.762,                  1.383,                 1.2387,                0.34299,                0.20136,                0.17921,                0.09112,                 1.6611,                 1.4333,                 1.1987,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.7186,                 1.3305,                 1.2158,                 0.4774,                0.22786,                0.23826,                0.12019,                 1.5437,                 1.2139,                 1.1449,               0.009505,               0.009505,               0.009505
                     12,                 1.6783,                 1.2862,                 1.1992,                0.30319,                  0.246,                0.23248,                 0.1171,                 1.5829,                 1.2612,                 1.1565,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.6497,                 1.2521,                 1.1786,                0.30805,                0.24274,                0.23506,                0.11994,                 1.5135,                 1.1971,                 1.1249,               0.009406,               0.009406,               0.009406
                     14,                 1.6171,                 1.2208,                 1.1664,                0.38102,                0.24748,                0.24439,                0.12551,                   1.49,                 1.1759,                 1.1206,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.5927,                 1.1942,                  1.153,                0.37237,                0.28461,                0.26845,                0.13784,                 1.4849,                 1.1556,                 1.1077,               0.009307,               0.009307,               0.009307
                     16,                 1.5823,                 1.1782,                  1.143,                0.42142,                0.26014,                0.27911,                0.14466,                 1.4416,                 1.0918,                 1.0908,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.5574,                 1.1572,                  1.135,                0.37689,                0.28543,                0.28866,                0.15033,                 1.4316,                 1.0968,                 1.0823,               0.009208,               0.009208,               0.009208
                     18,                 1.5458,                 1.1377,                 1.1256,                0.37739,                0.28807,                0.28282,                0.15105,                 1.4385,                 1.1213,                 1.0845,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.5336,                 1.1266,                 1.1193,                0.40676,                0.26464,                0.29391,                0.15746,                  1.406,                 1.0842,                 1.0725,               0.009109,               0.009109,               0.009109
                     20,                 1.5206,                 1.1132,                 1.1152,                0.37839,                0.29145,                0.29751,                0.16168,                 1.3768,                 1.0198,                 1.0644,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.5123,                 1.1059,                 1.1093,                0.42726,                0.30817,                0.31444,                0.17106,                 1.3719,                 1.0407,                 1.0599,                0.00901,                0.00901,                0.00901
                     22,                 1.5021,                 1.0882,                  1.103,                0.43634,                0.32997,                0.32443,                0.17378,                 1.3564,                 1.0055,                 1.0511,              0.0089605,              0.0089605,              0.0089605
                     23,                   1.49,                 1.0835,                 1.1031,                0.46665,                0.28251,                0.30794,                0.16927,                 1.3644,                 1.0342,                 1.0539,               0.008911,               0.008911,               0.008911
                     24,                 1.4784,                 1.0623,                 1.0912,                0.43823,                0.32693,                0.33301,                0.18263,                 1.3382,                0.99877,                 1.0467,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.4793,                 1.0673,                 1.0907,                0.51401,                0.31007,                0.33133,                0.18078,                 1.3327,                0.99536,                 1.0421,               0.008812,               0.008812,               0.008812
                     26,                 1.4656,                 1.0543,                 1.0876,                0.46793,                0.33818,                0.34913,                0.18919,                 1.3174,                0.96365,                 1.0344,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.4615,                  1.047,                 1.0837,                0.49439,                 0.3237,                0.34312,                0.18813,                 1.3163,                 0.9652,                 1.0342,               0.008713,               0.008713,               0.008713
                     28,                 1.4529,                 1.0372,                 1.0748,                0.47851,                0.35066,                0.35283,                0.19367,                 1.3098,                0.95457,                 1.0289,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.4501,                 1.0364,                 1.0805,                0.49949,                0.34609,                0.35847,                0.19741,                  1.302,                0.95222,                 1.0279,               0.008614,               0.008614,               0.008614
                     30,                 1.4416,                 1.0309,                 1.0773,                0.51654,                0.32293,                0.35934,                0.19786,                 1.2861,                0.93813,                 1.0223,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.4401,                 1.0278,                 1.0765,                0.56355,                0.34084,                 0.3706,                0.20489,                  1.291,                0.93926,                 1.0225,               0.008515,               0.008515,               0.008515
                     32,                 1.4341,                  1.016,                 1.0703,                0.49305,                0.33539,                0.36734,                0.20472,                 1.2862,                0.93935,                 1.0199,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.4289,                 1.0098,                 1.0667,                0.51187,                0.34413,                0.36908,                0.20787,                 1.2769,                0.92307,                  1.018,               0.008416,               0.008416,               0.008416
                     34,                 1.4199,                 1.0011,                  1.065,                 0.5251,                0.34537,                0.37263,                0.21026,                 1.2748,                0.92128,                 1.0161,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.4165,                0.99674,                  1.064,                0.52655,                0.32815,                0.36368,                0.20297,                 1.2785,                0.92247,                  1.016,               0.008317,               0.008317,               0.008317
                     36,                 1.4081,                0.98958,                 1.0588,                0.47015,                 0.3618,                0.37623,                0.21088,                 1.2674,                0.91415,                  1.013,              0.0082675,              0.0082675,              0.0082675
                     37,                  1.413,                0.99208,                 1.0619,                0.44896,                 0.3754,                0.38059,                0.21478,                 1.2618,                0.90424,                  1.011,               0.008218,               0.008218,               0.008218
                     38,                 1.4047,                0.98745,                  1.057,                0.47644,                0.36252,                0.38309,                0.21409,                 1.2542,                0.89346,                 1.0064,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.3986,                0.98062,                 1.0546,                0.54202,                 0.3511,                0.38782,                0.22065,                 1.2555,                0.89496,                 1.0065,               0.008119,               0.008119,               0.008119
                     40,                 1.3979,                0.97707,                 1.0551,                 0.4979,                0.35985,                0.38255,                0.21643,                 1.2582,                0.89735,                 1.0072,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.3864,                0.96735,                 1.0498,                 0.5377,                0.35235,                0.38902,                0.22068,                 1.2456,                0.88734,                 1.0039,                0.00802,                0.00802,                0.00802
                     42,                 1.3822,                0.96348,                 1.0506,                0.49502,                0.37369,                0.39113,                0.22301,                 1.2437,                0.88776,                 1.0033,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.3872,                0.96542,                 1.0498,                0.50725,                0.35647,                0.39156,                0.22517,                 1.2409,                0.87968,                 1.0019,               0.007921,               0.007921,               0.007921
                     44,                 1.3751,                0.95736,                 1.0465,                0.48326,                0.37212,                0.38872,                0.22372,                 1.2381,                0.87763,                 1.0007,              0.0078715,              0.0078715,              0.0078715
                     45,                   1.38,                0.96172,                 1.0492,                 0.5018,                0.36426,                0.39471,                 0.2246,                 1.2303,                0.87346,                0.99591,               0.007822,               0.007822,               0.007822
                     46,                 1.3799,                0.95713,                 1.0466,                0.54153,                0.34537,                0.39073,                0.22286,                 1.2264,                0.87114,                0.99475,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.3717,                0.94904,                  1.042,                0.53106,                0.35771,                0.39463,                0.22508,                 1.2293,                0.87067,                 0.9963,               0.007723,               0.007723,               0.007723
                     48,                 1.3704,                0.94672,                 1.0429,                0.51982,                0.36017,                0.39601,                0.22687,                 1.2264,                0.86725,                0.99442,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.3617,                0.94151,                 1.0391,                0.55701,                0.35281,                0.39435,                0.22767,                 1.2232,                0.86464,                0.99503,               0.007624,               0.007624,               0.007624
                     50,                 1.3681,                0.94431,                 1.0411,                0.51672,                0.37493,                0.40219,                0.22853,                 1.2226,                0.85963,                0.99289,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.3602,                0.94105,                 1.0392,                0.50673,                0.38299,                0.40108,                0.23046,                  1.219,                0.85827,                0.99364,               0.007525,               0.007525,               0.007525
                     52,                  1.357,                0.93331,                 1.0378,                0.54151,                0.38574,                0.40164,                0.23059,                 1.2176,                  0.858,                 0.9924,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.3518,                0.92976,                 1.0372,                0.50495,                0.38406,                0.40074,                0.22932,                 1.2112,                 0.8545,                0.99007,               0.007426,               0.007426,               0.007426
                     54,                 1.3525,                0.92703,                 1.0347,                0.54446,                0.37163,                0.40269,                0.23109,                 1.2141,                 0.8564,                0.99036,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.3538,                0.92937,                 1.0359,                  0.527,                0.38057,                0.40346,                0.22975,                 1.2131,                0.85363,                 0.9898,               0.007327,               0.007327,               0.007327
