                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5903,                 3.8514,                 3.3138,                0.00373,                0.05786,                0.00328,                0.00106,                 3.2075,                    inf,                 4.9159,               0.070089,              0.0033234,              0.0033234
                      2,                 2.7496,                 2.8371,                 2.3872,                0.57249,                0.06577,                0.04916,                0.02106,                  2.434,                  3.559,                  2.111,               0.040056,              0.0066238,              0.0066238
                      3,                  2.455,                 2.5101,                  2.028,                0.40601,                0.08353,                0.06743,                 0.0299,                  2.229,                 4.1646,                 1.9206,              0.0099904,              0.0098912,              0.0098912
                      4,                 2.2446,                 2.2696,                  1.807,                0.48582,                0.10727,                0.09562,                0.04553,                 2.0766,                 2.4264,                 1.7187,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.0938,                 2.0681,                 1.6711,                 0.4099,                0.13892,                0.13587,                0.06658,                 1.8789,                 1.8633,                 1.5553,               0.009802,               0.009802,               0.009802
                      6,                 2.0042,                 1.9199,                 1.5915,                0.36665,                0.12423,                0.12047,                0.06019,                 1.9292,                 1.9831,                 1.5791,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.9387,                 1.8212,                 1.5393,                0.54767,                0.17499,                0.17698,                0.09144,                 1.7225,                 1.6639,                 1.4282,               0.009703,               0.009703,               0.009703
                      8,                 1.8918,                 1.7424,                  1.503,                0.43051,                0.17224,                 0.1761,                0.08973,                 1.7192,                 1.6313,                 1.4143,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.8508,                 1.6816,                 1.4652,                0.56831,                0.17902,                0.20172,                0.10303,                 1.6823,                 1.5874,                 1.3984,               0.009604,               0.009604,               0.009604
                     10,                 1.8116,                   1.63,                 1.4404,                0.53053,                0.21294,                0.20449,                0.10399,                 1.6488,                 1.5303,                 1.3656,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.7835,                 1.5844,                 1.4203,                 0.3922,                0.23718,                0.21614,                 0.1109,                 1.6243,                 1.4834,                 1.3601,               0.009505,               0.009505,               0.009505
                     12,                 1.7613,                 1.5588,                 1.4045,                0.48469,                0.24429,                0.24603,                0.13567,                 1.5898,                 1.4182,                 1.3164,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.7472,                 1.5322,                 1.3926,                0.37151,                0.23131,                 0.2517,                0.13653,                 1.5708,                 1.3709,                 1.3208,               0.009406,               0.009406,               0.009406
                     14,                 1.7223,                 1.4943,                 1.3773,                0.46927,                0.23883,                0.26497,                0.14228,                  1.554,                 1.3461,                 1.2997,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.7089,                 1.4782,                 1.3717,                0.45633,                0.25082,                 0.2553,                0.13841,                 1.5509,                 1.3661,                  1.298,               0.009307,               0.009307,               0.009307
                     16,                 1.6909,                 1.4473,                 1.3571,                0.41443,                0.26527,                0.27219,                 0.1437,                 1.5397,                 1.3261,                 1.2901,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.6821,                 1.4317,                 1.3511,                 0.3511,                0.27283,                0.27701,                0.14967,                 1.5124,                 1.2946,                 1.2714,               0.009208,               0.009208,               0.009208
                     18,                 1.6685,                 1.4074,                 1.3407,                0.31636,                0.28995,                0.28011,                0.15325,                 1.5045,                 1.2887,                 1.2733,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.6577,                 1.3901,                 1.3357,                  0.383,                 0.2803,                0.28917,                 0.1554,                 1.4884,                 1.2695,                 1.2567,               0.009109,               0.009109,               0.009109
                     20,                 1.6448,                 1.3754,                 1.3289,                0.39446,                0.29495,                 0.2968,                0.16066,                 1.4621,                  1.237,                 1.2438,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.6385,                  1.369,                 1.3209,                0.39564,                0.31485,                  0.305,                0.16843,                 1.4631,                 1.2134,                 1.2456,                0.00901,                0.00901,                0.00901
