                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8092,                 3.8243,                 3.1378,                 0.3574,                0.04054,                0.02805,                 0.0087,                 3.0577,                 2.5775,                 2.3847,               0.070089,              0.0033234,              0.0033234
                      2,                 2.5068,                 2.1487,                 1.8254,                0.34787,                 0.0751,                0.07453,                0.03107,                 2.3792,                  2.109,                  1.764,               0.040056,              0.0066238,              0.0066238
                      3,                 2.0999,                 1.7191,                 1.5347,                0.37568,                0.09926,                0.08536,                0.03813,                  2.229,                 1.9827,                 1.6579,              0.0099904,              0.0098912,              0.0098912
                      4,                 1.8116,                 1.4038,                 1.3543,                0.37362,                0.17283,                0.16674,                0.07983,                  1.793,                 1.4766,                  1.382,              0.0098515,              0.0098515,              0.0098515
                      5,                  1.607,                 1.1884,                  1.243,                 0.5184,                0.18309,                0.19071,                0.09162,                 1.6789,                 1.3199,                 1.3173,               0.009802,               0.009802,               0.009802
                      6,                 1.4806,                 1.0502,                 1.1733,                0.56463,                0.21822,                0.22583,                0.11366,                 1.5833,                  1.223,                 1.2693,              0.0097525,              0.0097525,              0.0097525
                      7,                  1.391,                0.96071,                 1.1326,                0.58006,                0.21762,                0.21929,                0.11005,                 1.5957,                 1.2909,                 1.2694,               0.009703,               0.009703,               0.009703
                      8,                 1.3262,                0.89711,                 1.1046,                0.61306,                0.22699,                0.24863,                0.13041,                 1.5163,                 1.1641,                 1.2267,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.2755,                0.85068,                 1.0802,                0.59669,                0.22924,                0.25182,                0.13371,                 1.4741,                 1.1154,                 1.1999,               0.009604,               0.009604,               0.009604
                     10,                 1.2267,                0.80982,                 1.0586,                0.47438,                0.24443,                0.26705,                0.14264,                 1.4723,                 1.0958,                 1.1924,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.1925,                 0.7768,                  1.043,                0.52356,                0.24426,                0.26961,                0.14537,                 1.4309,                 1.0492,                 1.1756,               0.009505,               0.009505,               0.009505
                     12,                 1.1564,                 0.7487,                 1.0311,                 0.5621,                0.26371,                0.27019,                0.14333,                 1.4374,                 1.0657,                 1.1732,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.1312,                0.72733,                 1.0205,                 0.4623,                0.27952,                0.28469,                0.15379,                  1.406,                 1.0226,                 1.1633,               0.009406,               0.009406,               0.009406
                     14,                  1.099,                  0.701,                 1.0069,                 0.5839,                0.29061,                0.29522,                0.15711,                 1.4015,                0.99811,                 1.1642,              0.0093565,              0.0093565,              0.0093565
                     15,                  1.083,                0.69104,                 1.0014,                0.55498,                0.26952,                0.30294,                0.16392,                 1.3824,                0.99046,                 1.1446,               0.009307,               0.009307,               0.009307
                     16,                 1.0626,                0.67206,                0.99254,                0.53817,                0.28786,                0.30967,                0.16864,                 1.3616,                 0.9636,                 1.1375,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.0395,                0.65639,                0.98543,                0.43994,                0.31959,                0.32084,                0.17207,                 1.3646,                0.97705,                 1.1377,               0.009208,               0.009208,               0.009208
                     18,                 1.0265,                0.64153,                0.97729,                0.44842,                0.32081,                0.32941,                0.18016,                 1.3577,                0.94042,                 1.1279,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.0073,                0.63178,                0.97309,                0.63364,                0.30386,                0.33829,                0.18653,                 1.3497,                 0.9367,                 1.1297,               0.009109,               0.009109,               0.009109
                     20,                0.99482,                0.62366,                 0.9689,                0.51212,                0.31449,                0.34104,                0.18488,                 1.3422,                 0.9403,                 1.1231,              0.0090595,              0.0090595,              0.0090595
                     21,                 0.9747,                0.60897,                0.96201,                0.50197,                0.31881,                0.32539,                0.17905,                 1.3363,                0.92978,                 1.1234,                0.00901,                0.00901,                0.00901
                     22,                 0.9662,                0.60175,                0.95907,                0.48487,                0.32975,                0.33966,                0.18685,                 1.3235,                 0.9189,                 1.1143,              0.0089605,              0.0089605,              0.0089605
                     23,                0.95332,                0.59346,                0.95383,                0.55297,                0.31723,                0.33643,                0.18842,                 1.3223,                0.91658,                 1.1106,               0.008911,               0.008911,               0.008911
                     24,                0.94321,                0.58512,                0.94971,                0.47346,                0.34065,                0.34157,                0.18713,                  1.321,                0.91845,                 1.1169,              0.0088615,              0.0088615,              0.0088615
                     25,                0.93281,                0.57777,                0.94635,                0.44506,                0.35704,                 0.3506,                0.19097,                 1.3094,                0.89592,                 1.1052,               0.008812,               0.008812,               0.008812
                     26,                0.92543,                0.57066,                0.94313,                0.48286,                0.35727,                0.35756,                0.19712,                 1.3058,                0.88222,                 1.0996,              0.0087625,              0.0087625,              0.0087625
                     27,                0.91753,                0.56857,                 0.9389,                0.51128,                0.34447,                0.35014,                0.19223,                  1.313,                0.88815,                 1.1057,               0.008713,               0.008713,               0.008713
                     28,                0.91867,                0.56606,                 0.9347,                0.47896,                0.33329,                 0.3489,                0.19153,                 1.3158,                0.89592,                 1.1006,              0.0086635,              0.0086635,              0.0086635
                     29,                0.91392,                0.56522,                0.93341,                 0.6086,                0.32963,                0.36373,                0.20223,                 1.3191,                0.89549,                 1.1016,               0.008614,               0.008614,               0.008614
                     30,                 0.9085,                 0.5611,                0.93155,                0.54115,                0.34787,                0.36417,                0.20151,                   1.31,                0.88253,                 1.0935,              0.0085645,              0.0085645,              0.0085645
                     31,                0.90112,                0.55571,                0.92917,                0.47837,                0.36369,                0.36951,                0.20384,                 1.3002,                 0.8831,                 1.0877,               0.008515,               0.008515,               0.008515
                     32,                0.89368,                0.55101,                0.92523,                0.52315,                0.36147,                0.36937,                0.20688,                  1.304,                0.87269,                 1.0885,              0.0084655,              0.0084655,              0.0084655
                     33,                0.89178,                0.54979,                0.92385,                0.43159,                0.36499,                0.36284,                 0.2032,                 1.3007,                0.86827,                 1.0893,               0.008416,               0.008416,               0.008416
                     34,                0.88379,                0.54614,                0.92204,                0.46284,                0.35146,                0.36283,                0.20077,                 1.2953,                0.87209,                 1.0811,              0.0083665,              0.0083665,              0.0083665
                     35,                0.87339,                0.53894,                0.91604,                0.50028,                0.36904,                0.36809,                 0.2031,                 1.2962,                0.86139,                 1.0791,               0.008317,               0.008317,               0.008317
                     36,                0.87019,                0.53756,                 0.9153,                 0.4644,                0.37686,                0.38001,                0.21195,                 1.2964,                0.86837,                 1.0759,              0.0082675,              0.0082675,              0.0082675
                     37,                0.86823,                0.53753,                0.91307,                0.48524,                0.35547,                0.37624,                0.20885,                 1.2915,                0.85527,                 1.0744,               0.008218,               0.008218,               0.008218
                     38,                 0.8595,                0.53104,                0.91034,                0.51872,                0.35469,                0.38258,                0.21069,                 1.2959,                0.85323,                 1.0736,              0.0081685,              0.0081685,              0.0081685
                     39,                0.85601,                0.53107,                0.91071,                0.54899,                0.34873,                0.38632,                0.21639,                 1.2874,                 0.8484,                 1.0708,               0.008119,               0.008119,               0.008119
                     40,                0.84916,                0.52569,                0.90849,                0.49385,                0.37846,                0.38028,                0.21081,                 1.2867,                0.85688,                 1.0694,              0.0080695,              0.0080695,              0.0080695
                     41,                0.84296,                0.52096,                0.90603,                0.51046,                0.36349,                0.38139,                0.21317,                  1.279,                0.84229,                 1.0657,                0.00802,                0.00802,                0.00802
                     42,                0.83713,                0.51895,                0.90448,                0.54434,                0.36562,                0.39104,                 0.2176,                 1.2796,                 0.8407,                 1.0639,              0.0079705,              0.0079705,              0.0079705
                     43,                 0.8362,                0.51977,                0.90386,                0.54958,                 0.3597,                0.38478,                0.21736,                 1.2753,                0.84971,                 1.0629,               0.007921,               0.007921,               0.007921
                     44,                0.83477,                0.51736,                0.90437,                0.54397,                0.35573,                0.38783,                0.21672,                 1.2776,                0.83825,                 1.0645,              0.0078715,              0.0078715,              0.0078715
                     45,                0.82619,                0.51013,                0.90071,                0.51399,                0.38649,                0.39512,                0.22146,                 1.2744,                0.83656,                 1.0607,               0.007822,               0.007822,               0.007822
                     46,                0.82291,                0.50676,                0.89825,                0.54012,                 0.3783,                0.39908,                0.22277,                 1.2726,                0.83576,                 1.0616,              0.0077725,              0.0077725,              0.0077725
                     47,                0.81864,                0.50598,                0.89939,                0.52464,                0.39383,                 0.4005,                0.22312,                 1.2709,                0.82922,                 1.0606,               0.007723,               0.007723,               0.007723
                     48,                0.81261,                0.50175,                0.89627,                0.50325,                0.39631,                0.39713,                0.22076,                 1.2695,                0.83349,                 1.0577,              0.0076735,              0.0076735,              0.0076735
                     49,                0.80778,                0.49902,                0.89528,                0.53801,                0.38601,                0.40249,                0.22611,                  1.268,                0.82357,                  1.057,               0.007624,               0.007624,               0.007624
                     50,                0.80552,                0.49754,                0.89472,                0.54167,                0.38722,                0.40116,                0.22383,                  1.267,                0.82707,                  1.059,              0.0075745,              0.0075745,              0.0075745
