epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.424,8.42313,13.5515,7.84543,0.80315,0.00635,0.00111,0.00027,7.68865,8.00402,5.79578,0.00331349,0.00331349,0.00331349
2,360.039,6.5504,6.95529,4.5534,0.64032,0.01924,0.01228,0.00445,6.19009,6.84797,4.56733,0.00661392,0.00661392,0.00661392
3,535.99,5.15512,5.11725,3.37591,0.70094,0.0641,0.05423,0.02353,4.73631,5.10084,3.2404,0.00988136,0.00988136,0.00988136
4,710.936,4.57162,4.14945,2.95366,0.47309,0.10131,0.08714,0.04014,4.20927,3.95531,2.8786,0.0098515,0.0098515,0.0098515
5,885.136,4.23231,3.63377,2.75831,0.65219,0.14032,0.1509,0.07377,3.76155,3.3873,2.56957,0.009802,0.009802,0.009802
6,1059.94,4.01887,3.31885,2.63159,0.46318,0.15541,0.15993,0.07975,3.73395,3.09737,2.5364,0.0097525,0.0097525,0.0097525
7,1234.37,3.87121,3.09929,2.55494,0.57133,0.17883,0.19266,0.09897,3.47115,2.78669,2.40759,0.009703,0.009703,0.009703
8,1409.19,3.76026,2.95879,2.49973,0.30967,0.2341,0.21764,0.11317,3.40837,2.70225,2.36681,0.0096535,0.0096535,0.0096535
9,1583.28,3.68456,2.83839,2.4502,0.45082,0.2361,0.23929,0.12509,3.2706,2.60652,2.30012,0.009604,0.009604,0.009604
10,1757.91,3.60922,2.76313,2.41645,0.35672,0.24746,0.23565,0.12089,3.27475,2.63585,2.31275,0.0095545,0.0095545,0.0095545
11,1932.41,3.56083,2.67945,2.38775,0.51596,0.2201,0.2469,0.12758,3.29436,2.67062,2.31674,0.009505,0.009505,0.009505
12,2106.53,3.51508,2.62482,2.37448,0.52003,0.25238,0.26575,0.13997,3.17607,2.48894,2.25757,0.0094555,0.0094555,0.0094555
13,2281.19,3.48017,2.57157,2.34497,0.34218,0.27677,0.27653,0.14443,3.122,2.37499,2.23012,0.009406,0.009406,0.009406
14,2455.03,3.43688,2.5194,2.33233,0.4051,0.26949,0.28496,0.15041,3.107,2.33969,2.21889,0.0093565,0.0093565,0.0093565
15,2628.84,3.39933,2.47608,2.3127,0.38432,0.32886,0.31416,0.17083,3.03755,2.26958,2.18629,0.009307,0.009307,0.009307
16,2803.68,3.38135,2.44711,2.29526,0.36594,0.30507,0.29901,0.15982,3.08796,2.31085,2.20283,0.0092575,0.0092575,0.0092575
17,2978.07,3.34547,2.41113,2.28554,0.43704,0.30681,0.32153,0.17289,3.01459,2.20607,2.1616,0.009208,0.009208,0.009208
18,3152.21,3.33225,2.37782,2.27229,0.4302,0.31168,0.32911,0.18126,3.01723,2.20864,2.16402,0.0091585,0.0091585,0.0091585
19,3326.64,3.31356,2.35816,2.25878,0.43307,0.30643,0.33034,0.17882,2.98701,2.17392,2.15045,0.009109,0.009109,0.009109
20,3500.74,3.28977,2.3367,2.25472,0.48172,0.31335,0.3448,0.18822,2.98399,2.19415,2.15281,0.0090595,0.0090595,0.0090595
21,3675.17,3.29232,2.33096,2.24171,0.48578,0.30876,0.34984,0.19426,2.97675,2.13124,2.13437,0.00901,0.00901,0.00901
22,3849.92,3.31183,2.32392,2.22805,0.44756,0.34545,0.35065,0.19524,2.96841,2.15085,2.11843,0.0089605,0.0089605,0.0089605
23,4024.71,3.29423,2.32203,2.22349,0.46717,0.3095,0.33697,0.18629,2.99109,2.19298,2.12221,0.008911,0.008911,0.008911
24,4198.88,3.28234,2.28524,2.19996,0.48772,0.33497,0.36013,0.20472,2.9487,2.12573,2.11019,0.0088615,0.0088615,0.0088615
25,4373.46,3.2856,2.2959,2.1977,0.46401,0.32838,0.34458,0.19261,2.99016,2.15075,2.11264,0.008812,0.008812,0.008812
26,4547.04,3.26354,2.27845,2.19324,0.52099,0.31796,0.36216,0.20111,2.91861,2.10303,2.08545,0.0087625,0.0087625,0.0087625
27,4721.45,3.25798,2.26157,2.18235,0.47622,0.33284,0.3635,0.20321,2.93362,2.08194,2.08935,0.008713,0.008713,0.008713
28,4895.83,3.25046,2.24406,2.16794,0.502,0.34754,0.37358,0.21321,2.90837,2.05479,2.07929,0.0086635,0.0086635,0.0086635
29,5069.99,3.2333,2.23804,2.17229,0.47779,0.32649,0.36496,0.20458,2.8982,2.06689,2.07837,0.008614,0.008614,0.008614
30,5243.98,3.22193,2.22657,2.16976,0.47915,0.35608,0.38034,0.2152,2.88197,2.03948,2.06713,0.0085645,0.0085645,0.0085645
31,5417.79,3.22123,2.22629,2.16879,0.53057,0.34012,0.37966,0.21601,2.88912,2.06178,2.06594,0.008515,0.008515,0.008515
32,5592.27,3.20991,2.19476,2.15276,0.50876,0.35157,0.38963,0.22007,2.88753,2.03172,2.06265,0.0084655,0.0084655,0.0084655
33,5766.31,3.19134,2.18189,2.14546,0.49211,0.37191,0.39409,0.22361,2.85238,1.99268,2.05071,0.008416,0.008416,0.008416
34,5939.8,3.18395,2.16778,2.14403,0.54327,0.33726,0.39348,0.22345,2.84536,1.9984,2.04846,0.0083665,0.0083665,0.0083665
35,6113.4,3.17638,2.15956,2.13997,0.5318,0.37056,0.40778,0.23355,2.83111,1.98201,2.03948,0.008317,0.008317,0.008317
36,6287.21,3.1646,2.14795,2.13127,0.52117,0.36244,0.3982,0.23187,2.83828,1.98715,2.04126,0.0082675,0.0082675,0.0082675
37,6461.18,3.16561,2.14926,2.13146,0.52104,0.37156,0.4022,0.22846,2.83843,1.97432,2.04403,0.008218,0.008218,0.008218
38,6635.48,3.15222,2.13634,2.12644,0.53509,0.35054,0.39923,0.2301,2.81248,1.96495,2.03191,0.0081685,0.0081685,0.0081685
39,6809.73,3.14431,2.12606,2.12214,0.49171,0.39078,0.40838,0.23473,2.8079,1.95638,2.02745,0.008119,0.008119,0.008119
40,6983.35,3.14152,2.11191,2.12054,0.5327,0.3877,0.41444,0.23977,2.79962,1.94197,2.02341,0.0080695,0.0080695,0.0080695
41,7157.15,3.11868,2.09883,2.11014,0.54417,0.37348,0.41865,0.24093,2.79801,1.93367,2.02315,0.00802,0.00802,0.00802
42,7331.41,3.10619,2.08485,2.11097,0.53356,0.3769,0.41571,0.23566,2.79018,1.92908,2.02141,0.0079705,0.0079705,0.0079705
43,7505.1,3.1238,2.0913,2.10863,0.56175,0.38362,0.4201,0.24069,2.78261,1.91128,2.01738,0.007921,0.007921,0.007921
