epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.982,8.41694,13.047,7.72805,0.70528,0.00614,0.00159,0.00032,7.87895,8.19767,5.70405,0.00331349,0.00331349,0.00331349
2,359.899,6.38255,6.57142,4.48504,0.57572,0.05165,0.039,0.01525,5.10686,4.6946,3.59135,0.00661392,0.00661392,0.00661392
3,537.035,4.96048,4.69554,3.26068,0.63292,0.09135,0.07876,0.0343,4.35328,4.03517,2.98311,0.00988136,0.00988136,0.00988136
4,713.28,4.30324,3.74785,2.81412,0.48533,0.15883,0.14698,0.06976,3.81393,3.28319,2.61217,0.0098515,0.0098515,0.0098515
5,887.948,3.94522,3.22683,2.61816,0.55424,0.20659,0.18241,0.0898,3.54979,3.04409,2.46833,0.009802,0.009802,0.009802
6,1063.74,3.73739,2.93369,2.50253,0.3322,0.21286,0.18748,0.09307,3.5856,3.13819,2.4749,0.0097525,0.0097525,0.0097525
7,1239.52,3.6039,2.72654,2.43701,0.45974,0.23459,0.25808,0.13046,3.31191,2.54878,2.34338,0.009703,0.009703,0.009703
8,1415.24,3.49512,2.60244,2.38797,0.35609,0.2789,0.27761,0.14892,3.15713,2.40274,2.26445,0.0096535,0.0096535,0.0096535
9,1590.56,3.4233,2.49292,2.34168,0.38628,0.3043,0.28429,0.15263,3.16305,2.41346,2.26557,0.009604,0.009604,0.009604
10,1766.31,3.34996,2.41663,2.31047,0.3863,0.29637,0.30308,0.16589,3.04675,2.27455,2.2187,0.0095545,0.0095545,0.0095545
11,1941.46,3.30668,2.34419,2.28795,0.43987,0.30256,0.32346,0.17913,2.97754,2.20681,2.19088,0.009505,0.009505,0.009505
12,2116.71,3.25995,2.29785,2.27608,0.45866,0.31869,0.34211,0.18776,2.92174,2.11736,2.15745,0.0094555,0.0094555,0.0094555
13,2291.65,3.22844,2.2457,2.25088,0.45184,0.33842,0.34514,0.18881,2.89546,2.05831,2.14492,0.009406,0.009406,0.009406
14,2467.23,3.18686,2.19267,2.23981,0.44609,0.34868,0.36609,0.20438,2.87133,2.05509,2.13679,0.0093565,0.0093565,0.0093565
15,2643.06,3.14859,2.14811,2.22264,0.43408,0.36119,0.36493,0.2056,2.86041,2.0019,2.12838,0.009307,0.009307,0.009307
16,2819.12,3.13301,2.12313,2.20769,0.45946,0.35541,0.3681,0.20836,2.85218,2.00687,2.12419,0.0092575,0.0092575,0.0092575
17,2994.21,3.08977,2.08664,2.19783,0.46242,0.36094,0.37454,0.21232,2.7956,1.9468,2.10042,0.009208,0.009208,0.009208
18,3169.48,3.07489,2.05556,2.18771,0.46822,0.37026,0.38715,0.2202,2.8102,1.9727,2.10239,0.0091585,0.0091585,0.0091585
19,3345.36,3.0609,2.03958,2.17489,0.49655,0.38994,0.40514,0.23375,2.75251,1.89163,2.0815,0.009109,0.009109,0.009109
20,3520.87,3.03878,2.01713,2.17474,0.49074,0.36828,0.39228,0.22662,2.75145,1.92005,2.08255,0.0090595,0.0090595,0.0090595
21,3696.44,3.02373,2.00189,2.16205,0.51688,0.39031,0.41361,0.23874,2.73389,1.85954,2.07266,0.00901,0.00901,0.00901
22,3872.07,3.01091,1.9656,2.15329,0.52903,0.37943,0.40796,0.23118,2.72426,1.85073,2.06873,0.0089605,0.0089605,0.0089605
23,4047.89,2.9837,1.95131,2.15184,0.52791,0.40019,0.41656,0.2406,2.70737,1.83032,2.05841,0.008911,0.008911,0.008911
24,4223.06,2.97012,1.91796,2.13388,0.5147,0.40023,0.42975,0.24736,2.70458,1.8347,2.05724,0.0088615,0.0088615,0.0088615
25,4398,2.97196,1.92298,2.13262,0.52335,0.39256,0.41977,0.24496,2.68677,1.82602,2.04903,0.008812,0.008812,0.008812
26,4572.73,2.94924,1.90364,2.12802,0.55658,0.37145,0.41483,0.23978,2.67542,1.80628,2.04337,0.0087625,0.0087625,0.0087625
27,4748.38,2.94953,1.89895,2.1207,0.51671,0.40514,0.4181,0.24257,2.6922,1.8219,2.04041,0.008713,0.008713,0.008713
28,4923.57,2.97991,1.91065,2.1027,0.54319,0.40642,0.43658,0.25437,2.67115,1.77623,2.02316,0.0086635,0.0086635,0.0086635
29,5098.8,2.9747,1.90794,2.10647,0.51288,0.40205,0.42277,0.24799,2.70037,1.81659,2.03285,0.008614,0.008614,0.008614
30,5274.32,2.9621,1.90264,2.10159,0.53414,0.41652,0.43854,0.25952,2.67753,1.77199,2.02173,0.0085645,0.0085645,0.0085645
31,5449.37,2.9635,1.89983,2.10112,0.53212,0.40876,0.43985,0.26013,2.66834,1.7917,2.01452,0.008515,0.008515,0.008515
32,5624.17,2.95313,1.87478,2.08607,0.56874,0.41063,0.44306,0.26019,2.67273,1.79019,2.01854,0.0084655,0.0084655,0.0084655
33,5799.21,2.9396,1.86097,2.08008,0.55369,0.42032,0.45031,0.26616,2.66343,1.75282,2.01187,0.008416,0.008416,0.008416
34,5974.1,2.92609,1.84799,2.0781,0.57089,0.42521,0.45639,0.26977,2.64402,1.74574,2.00553,0.0083665,0.0083665,0.0083665
35,6149.28,2.91952,1.84133,2.07126,0.5438,0.42801,0.45873,0.26742,2.63408,1.73879,2.00024,0.008317,0.008317,0.008317
36,6324.3,2.90597,1.82961,2.0655,0.55697,0.41355,0.46247,0.27023,2.62821,1.74132,1.9973,0.0082675,0.0082675,0.0082675
37,6499.62,2.90928,1.83438,2.0648,0.64148,0.38202,0.45829,0.2738,2.60394,1.73446,1.98596,0.008218,0.008218,0.008218
38,6675.08,2.89096,1.81623,2.05756,0.59131,0.41841,0.46273,0.2747,2.62581,1.71739,1.99447,0.0081685,0.0081685,0.0081685
39,6850.72,2.88487,1.80902,2.05422,0.61419,0.4231,0.47316,0.28488,2.60457,1.70469,1.99006,0.008119,0.008119,0.008119
40,7025.69,2.88106,1.79864,2.05172,0.6067,0.42278,0.46835,0.27973,2.60625,1.70258,1.98558,0.0080695,0.0080695,0.0080695
41,7200.74,2.86002,1.78294,2.04528,0.62892,0.42073,0.47936,0.28688,2.59256,1.68673,1.98212,0.00802,0.00802,0.00802
42,7376.21,2.84829,1.76926,2.04663,0.60749,0.42201,0.4751,0.28361,2.59652,1.68918,1.98218,0.0079705,0.0079705,0.0079705
