epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.907,8.10275,11.6369,6.95249,0.82489,0.01591,0.00798,0.00205,6.74476,6.14196,4.96099,0.00332837,0.00332837,0.00332837
2,432.518,5.78726,5.93923,3.86478,0.59193,0.05954,0.05038,0.02151,4.83213,4.52752,3.26034,0.00662873,0.00662873,0.00662873
3,638.566,4.86777,4.68297,3.17162,0.70691,0.08156,0.07561,0.03345,4.46421,4.1599,2.92755,0.00989609,0.00989609,0.00989609
4,845.008,4.42157,3.93723,2.87023,0.61084,0.13709,0.12754,0.06181,3.89005,3.30974,2.64402,0.0098515,0.0098515,0.0098515
5,1050.55,4.1405,3.51437,2.70955,0.62344,0.14755,0.14627,0.07035,3.73063,3.22055,2.54114,0.009802,0.009802,0.009802
6,1256.42,3.9567,3.23587,2.61225,0.44961,0.19338,0.18031,0.08965,3.56381,2.90551,2.45084,0.0097525,0.0097525,0.0097525
7,1461.81,3.84006,3.05479,2.53954,0.48521,0.20303,0.21113,0.10902,3.37764,2.67929,2.36069,0.009703,0.009703,0.009703
8,1667.73,3.75294,2.93798,2.49298,0.5257,0.21975,0.22069,0.11327,3.38157,2.71544,2.35254,0.0096535,0.0096535,0.0096535
9,1873.3,3.67095,2.82708,2.44948,0.30528,0.24783,0.23775,0.12725,3.29137,2.58691,2.31427,0.009604,0.009604,0.009604
10,2078.6,3.60142,2.7358,2.41547,0.3563,0.25367,0.24497,0.1282,3.23259,2.52645,2.27614,0.0095545,0.0095545,0.0095545
11,2284.21,3.54746,2.66856,2.38892,0.47889,0.2591,0.2663,0.14118,3.15814,2.427,2.24244,0.009505,0.009505,0.009505
12,2489.56,3.50259,2.62207,2.36603,0.34735,0.28092,0.28249,0.14893,3.12759,2.37906,2.22376,0.0094555,0.0094555,0.0094555
13,2695.29,3.47693,2.56563,2.34973,0.39239,0.27368,0.28539,0.15444,3.11695,2.39209,2.21802,0.009406,0.009406,0.009406
14,2900.62,3.42899,2.5229,2.32595,0.45863,0.28886,0.29077,0.15767,3.0624,2.30191,2.19543,0.0093565,0.0093565,0.0093565
15,3106.28,3.40523,2.49083,2.31745,0.40409,0.30998,0.30256,0.1659,3.03609,2.31802,2.18389,0.009307,0.009307,0.009307
16,3312.02,3.38247,2.45766,2.30345,0.39461,0.32778,0.31208,0.16735,3.02909,2.26119,2.17361,0.0092575,0.0092575,0.0092575
17,3517.49,3.35004,2.43107,2.29232,0.40835,0.31958,0.31975,0.1752,2.99635,2.21823,2.16178,0.009208,0.009208,0.009208
18,3722.73,3.34662,2.42116,2.28349,0.44952,0.30428,0.32791,0.18087,2.99262,2.24152,2.15787,0.0091585,0.0091585,0.0091585
19,3928.33,3.34964,2.40249,2.26822,0.46154,0.30993,0.32723,0.17948,2.98969,2.22868,2.14025,0.009109,0.009109,0.009109
20,4133.66,3.34353,2.39512,2.25595,0.43734,0.33168,0.34129,0.18702,2.99228,2.21935,2.13855,0.0090595,0.0090595,0.0090595
21,4339.47,3.32955,2.38376,2.23916,0.48422,0.32238,0.34325,0.18848,2.98105,2.20476,2.12923,0.00901,0.00901,0.00901
22,4544.81,3.30711,2.35705,2.22985,0.43301,0.32582,0.33463,0.1837,2.99316,2.23275,2.13285,0.0089605,0.0089605,0.0089605
23,4751.18,3.30344,2.34948,2.22872,0.43226,0.34224,0.3458,0.19204,2.94852,2.15809,2.10852,0.008911,0.008911,0.008911
24,4956.68,3.29483,2.32631,2.21197,0.48828,0.31751,0.35522,0.19898,2.94768,2.17566,2.10442,0.0088615,0.0088615,0.0088615
25,5162.45,3.29039,2.3239,2.21107,0.49702,0.34709,0.36791,0.20487,2.92137,2.13419,2.09466,0.008812,0.008812,0.008812
