epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.666,4.12296,4.79141,3.80838,0.81399,0.01257,0.0041,0.00113,3.63702,3.38493,3.18556,0.00331349,0.00331349,0.00331349
2,339.379,2.99717,2.81763,2.31336,0.5842,0.05321,0.04795,0.01966,2.49872,2.17302,1.96742,0.00661392,0.00661392,0.00661392
3,503.635,2.3115,2.03768,1.7313,0.55414,0.10492,0.09641,0.04344,2.04103,1.67342,1.61478,0.00988136,0.00988136,0.00988136
4,667.674,1.97498,1.6197,1.48808,0.43616,0.15035,0.13815,0.06592,1.82939,1.59628,1.42576,0.0098515,0.0098515,0.0098515
5,829.921,1.79063,1.40247,1.37709,0.60936,0.20216,0.19759,0.09975,1.60537,1.31291,1.28052,0.009802,0.009802,0.009802
6,993.127,1.68322,1.27291,1.31027,0.34074,0.23047,0.22231,0.11368,1.52873,1.22914,1.24042,0.0097525,0.0097525,0.0097525
7,1155.67,1.61005,1.18518,1.27068,0.41526,0.26128,0.2636,0.13524,1.48698,1.11392,1.20319,0.009703,0.009703,0.009703
8,1318.22,1.55747,1.12777,1.24171,0.41837,0.29814,0.29715,0.15583,1.43309,1.05263,1.17699,0.0096535,0.0096535,0.0096535
9,1481.05,1.52067,1.08288,1.21756,0.40348,0.30977,0.31189,0.16375,1.38944,1.01971,1.15848,0.009604,0.009604,0.009604
10,1643.66,1.48393,1.05112,1.19916,0.41954,0.32954,0.32901,0.17372,1.35627,0.98351,1.13973,0.0095545,0.0095545,0.0095545
11,1806.06,1.46088,1.02374,1.18443,0.62016,0.30771,0.34526,0.18212,1.31677,0.96933,1.12013,0.009505,0.009505,0.009505
12,1968.76,1.44251,1.00469,1.17961,0.45198,0.34582,0.36253,0.1946,1.32328,0.93405,1.11899,0.0094555,0.0094555,0.0094555
13,2131.39,1.42195,0.9822,1.16329,0.46077,0.35715,0.36542,0.19941,1.3037,0.9051,1.10518,0.009406,0.009406,0.009406
14,2293.72,1.39833,0.96178,1.1559,0.50292,0.34909,0.37535,0.20807,1.26854,0.88662,1.09121,0.0093565,0.0093565,0.0093565
15,2456.49,1.38125,0.94318,1.14532,0.54411,0.36479,0.39638,0.21889,1.25722,0.8716,1.08644,0.009307,0.009307,0.009307
16,2619.41,1.37318,0.93121,1.13663,0.51089,0.37064,0.39489,0.21905,1.24826,0.87731,1.08254,0.0092575,0.0092575,0.0092575
17,2781.41,1.35492,0.91651,1.13259,0.51415,0.3861,0.40875,0.22809,1.24117,0.85491,1.0741,0.009208,0.009208,0.009208
18,2943.74,1.34747,0.906,1.12389,0.56346,0.36596,0.41321,0.23285,1.21988,0.84387,1.06664,0.0091585,0.0091585,0.0091585
19,3106.48,1.33536,0.89481,1.1162,0.51635,0.38711,0.4151,0.23473,1.22038,0.83982,1.06038,0.009109,0.009109,0.009109
20,3269.38,1.32845,0.8894,1.11713,0.55536,0.38905,0.41905,0.23662,1.2113,0.83825,1.06314,0.0090595,0.0090595,0.0090595
21,3431.99,1.32391,0.88351,1.10835,0.54363,0.40592,0.43402,0.24201,1.20841,0.82652,1.05501,0.00901,0.00901,0.00901
22,3594.71,1.32957,0.88052,1.10206,0.5396,0.39262,0.43387,0.2426,1.21033,0.82634,1.04973,0.0089605,0.0089605,0.0089605
23,3758.37,1.32378,0.88022,1.10038,0.55042,0.40508,0.44174,0.24625,1.19988,0.81528,1.04449,0.008911,0.008911,0.008911
24,3920.87,1.31461,0.86528,1.0893,0.57736,0.42637,0.46064,0.26678,1.18943,0.81344,1.03779,0.0088615,0.0088615,0.0088615
25,4083.26,1.32101,0.87178,1.08656,0.61043,0.39151,0.4464,0.25314,1.19511,0.81831,1.03552,0.008812,0.008812,0.008812
26,4245.54,1.31106,0.86386,1.083,0.57217,0.41511,0.45895,0.26307,1.19103,0.80146,1.03048,0.0087625,0.0087625,0.0087625
27,4408.8,1.30798,0.86069,1.07796,0.58223,0.42435,0.45904,0.26451,1.18423,0.80119,1.02509,0.008713,0.008713,0.008713
28,4571.01,1.30031,0.85268,1.06912,0.56461,0.44004,0.46667,0.26705,1.17955,0.7942,1.02278,0.0086635,0.0086635,0.0086635
29,4733.38,1.29811,0.85265,1.07244,0.5608,0.41989,0.45442,0.26098,1.17994,0.80235,1.02317,0.008614,0.008614,0.008614
30,4896.12,1.29002,0.84594,1.06785,0.57856,0.425,0.47226,0.27587,1.16773,0.78639,1.01497,0.0085645,0.0085645,0.0085645
31,5058.37,1.29097,0.84634,1.06656,0.56846,0.42504,0.46522,0.2724,1.16986,0.78872,1.01363,0.008515,0.008515,0.008515
32,5220.55,1.28259,0.83538,1.0591,0.60617,0.42432,0.47609,0.27349,1.162,0.77756,1.00979,0.0084655,0.0084655,0.0084655
33,5382.91,1.27751,0.8299,1.05571,0.59263,0.42744,0.47773,0.27884,1.15409,0.77081,1.00766,0.008416,0.008416,0.008416
34,5545.36,1.26967,0.82255,1.05526,0.62443,0.41724,0.47551,0.27736,1.15295,0.76769,1.00344,0.0083665,0.0083665,0.0083665
35,5707.26,1.26688,0.81954,1.05131,0.5787,0.42753,0.47561,0.27512,1.1588,0.77238,1.00621,0.008317,0.008317,0.008317
36,5869.57,1.26029,0.816,1.04749,0.58347,0.42813,0.4699,0.2732,1.14619,0.76635,0.99982,0.0082675,0.0082675,0.0082675
37,6031.99,1.2647,0.81681,1.04706,0.58655,0.44572,0.48037,0.2825,1.14299,0.76367,1.00105,0.008218,0.008218,0.008218
38,6194.34,1.25502,0.8098,1.04359,0.5992,0.44267,0.48789,0.28259,1.14385,0.75743,1.00087,0.0081685,0.0081685,0.0081685
39,6356.85,1.2496,0.80537,1.04085,0.6183,0.44541,0.49227,0.2903,1.13731,0.75638,0.99742,0.008119,0.008119,0.008119
40,6518.89,1.24798,0.80116,1.04057,0.64603,0.44589,0.50123,0.29282,1.13591,0.75193,0.99761,0.0080695,0.0080695,0.0080695
41,6681.3,1.23999,0.79477,1.03671,0.61884,0.43764,0.49417,0.29029,1.13234,0.74631,0.99702,0.00802,0.00802,0.00802
42,6843.97,1.23554,0.78878,1.03649,0.61711,0.45791,0.50275,0.29663,1.12706,0.74124,0.9927,0.0079705,0.0079705,0.0079705
43,7006.2,1.24252,0.79277,1.03586,0.6164,0.4453,0.49608,0.28712,1.13058,0.74488,0.99461,0.007921,0.007921,0.007921
44,7168.31,1.22987,0.78532,1.03222,0.63177,0.43825,0.49509,0.29076,1.12678,0.73888,0.99074,0.0078715,0.0078715,0.0078715
45,7330.79,1.23265,0.78604,1.0333,0.63211,0.45729,0.49734,0.29371,1.12132,0.73516,0.98789,0.007822,0.007822,0.007822
46,7493.26,1.2307,0.78355,1.03111,0.61717,0.45091,0.49751,0.29513,1.11931,0.73422,0.98628,0.0077725,0.0077725,0.0077725
47,7655.03,1.22668,0.77795,1.02846,0.62496,0.45722,0.50001,0.29836,1.11747,0.73099,0.98589,0.007723,0.007723,0.007723
48,7817.22,1.22315,0.77494,1.02715,0.62229,0.45338,0.50368,0.30002,1.11504,0.72754,0.98502,0.0076735,0.0076735,0.0076735
